x,y
1.66825003589111E-07,2.46790143682935E-15
1.68062499028565E-07,2.58298304235857E-15
1.6929999446802E-07,2.70198183495272E-15
1.70537504118329E-07,2.82493392465207E-15
1.71774999557783E-07,2.95186801965273E-15
1.73012494997238E-07,3.08281462365363E-15
1.74250004647547E-07,3.21780285740593E-15
1.75487500087001E-07,3.35685656584364E-15
1.76724995526456E-07,3.50000468630551E-15
1.77962505176765E-07,3.64727796613726E-15
1.7920000061622E-07,3.79870490522034E-15
1.80437496055674E-07,3.95432318267596E-15
1.81675005705984E-07,4.11417611181788E-15
1.82912501145438E-07,4.27830823896656E-15
1.84149996584893E-07,4.44677766816846E-15
1.85387506235202E-07,4.61965205823738E-15
1.86625001674656E-07,4.79700367084046E-15
1.87862497114111E-07,4.97892243796995E-15
1.8910000676442E-07,5.16551131339265E-15
1.90337502203875E-07,5.35688057807624E-15
1.91574997643329E-07,5.55316155081241E-15
1.92812507293638E-07,5.75450114802751E-15
1.94050002733093E-07,5.96105529738354E-15
1.95287498172547E-07,6.17300327618635E-15
1.96525007822856E-07,6.39054138455897E-15
1.97762503262311E-07,6.61387536249841E-15
1.98999998701765E-07,6.84323542423173E-15
2.00237508352075E-07,7.07886898431461E-15
2.01475003791529E-07,7.32103199654255E-15
2.02712499230984E-07,7.57000481259913E-15
2.03950008881293E-07,7.82608390375277E-15
2.05187490109893E-07,8.08956896266914E-15
2.06424999760202E-07,8.3607950917129E-15
2.07662509410511E-07,8.64009274027963E-15
2.08899990639111E-07,8.92780392912985E-15
2.1013750028942E-07,9.22430165714317E-15
2.11375009939729E-07,9.52994885244513E-15
2.12612491168329E-07,9.84511566922642E-15
2.13850000818638E-07,1.01702003939837E-14
2.15087510468948E-07,1.05055840925809E-14
2.16324991697547E-07,1.08516491431477E-14
2.17562501347857E-07,1.12088018397072E-14
2.18800010998166E-07,1.15774222277789E-14
2.20037492226766E-07,1.19578840922338E-14
2.21275001877075E-07,1.23505795144218E-14
2.22512511527384E-07,1.27558634557335E-14
2.23749992755984E-07,1.31740755355342E-14
2.24987502406293E-07,1.36055669037577E-14
2.26225012056602E-07,1.40506393058449E-14
2.27462493285202E-07,1.45095691540264E-14
2.28700002935511E-07,1.49826372368202E-14
2.29937512585821E-07,1.54700622593838E-14
2.3117499381442E-07,1.59720279142737E-14
2.3241250346473E-07,1.64887161181425E-14
2.33650013115039E-07,1.70202353286796E-14
2.34887494343638E-07,1.75666514869891E-14
2.36125003993948E-07,1.81280255757129E-14
2.37362513644257E-07,1.87043372739392E-14
2.38599994872857E-07,1.92955206712134E-14
2.39837504523166E-07,1.99015068779965E-14
2.41075014173475E-07,2.05221436753314E-14
2.42312495402075E-07,2.11572366868506E-14
2.43550005052384E-07,2.18065974581128E-14
2.44787486280984E-07,2.24699442034264E-14
2.46024995931293E-07,2.31470255959731E-14
2.47262505581602E-07,2.38375202278949E-14
2.48499986810202E-07,2.45410869602702E-14
2.49737496460511E-07,2.52574214502059E-14
2.50975006110821E-07,2.59861663694919E-14
2.5221248733942E-07,2.67269661725625E-14
2.5344999698973E-07,2.74795272385125E-14
2.54687506640039E-07,2.82435236801559E-14
2.55924987868639E-07,2.90186550415091E-14
2.57162497518948E-07,2.98047085030974E-14
2.58400007169257E-07,3.06014593020971E-14
2.59637488397857E-07,3.14087297758867E-14
2.60874998048166E-07,3.2226452215397E-14
2.62112507698475E-07,3.30545630263599E-14
2.63349988927075E-07,3.38930619009371E-14
2.64587498577384E-07,3.4742074458035E-14
2.65825008227694E-07,3.56017396292037E-14
2.67062489456293E-07,3.64722684004478E-14
2.68299999106603E-07,3.73540061192099E-14
2.69537508756912E-07,3.82473129579345E-14
2.70774989985512E-07,3.91526223407749E-14
2.72012499635821E-07,4.00705034510091E-14
2.7325000928613E-07,4.10015347682831E-14
2.7448749051473E-07,4.19463627603701E-14
2.75725000165039E-07,4.29057654736654E-14
2.76962509815348E-07,4.38805189857548E-14
2.78199991043948E-07,4.48714570831865E-14
2.79437500694257E-07,4.5879536854579E-14
2.80675010344566E-07,4.69056974680582E-14
2.81912491573166E-07,4.79509214551401E-14
2.83150001223476E-07,4.90163030368206E-14
2.84387510873785E-07,5.01028980992673E-14
2.85624992102385E-07,5.12117875001027E-14
2.86862501752694E-07,5.2344148613137E-14
2.88100011403003E-07,5.35010949259343E-14
2.89337492631603E-07,5.46837416509131E-14
2.90575002281912E-07,5.58932808399326E-14
